product_id,rating
B01J8S6X2I,4.40
B09MJ77786,4.30
B09NNGHG22,4.30
B07V5YF4ND,3.50
B0B65P827P,3.90
B084MZYBTV,4.50
B097ZQTDVZ,3.40
B0B5F3YZY4,4.00
B09G5TSGXV,4.00
B006LW0WDQ,4.40
B09YLX91QR,4.00
B081FJWN52,4.30
B0758F7KK7,4.00
B09L835C3V,4.20
B098TV3L96,3.80
B08NCKT9FG,4.40
B0B4T6MR8N,3.90
B01GGKZ4NU,4.20
B09BW2GP18,3.90
B09WN3SRC7,4.70
B09B125CFJ,3.60
B09RQRZW2X,3.70
B07924P3C5,4.20
B08N1WL9XW,4.00
B07VVXJ2P5,3.60
B0BC8BQ432,4.30
B06XFTHCNY,4.20
B08CT62BM1,4.30
B07CRL2GY6,4.20
B07DWFX9YS,4.20
B01D5H90L4,4.40
B07F1P8KNV,4.20
B084N1BM9L,4.40
B09F6D21BY,3.00
B09LQQYNZQ,4.50
B0BC9BW512,4.30
B0B61HYR92,4.20
B075ZTJ9XR,4.40
B0978V2CP6,4.00
B09LRZYBH1,3.80
B0B997FBZT,4.30
B098LCVYPW,4.20
B09HV71RL1,4.10
B08PZ6HZLT,4.00
B075TJHWVC,4.20
B09LV13JFB,3.30
B092BL5DCX,4.30
B09VH568H7,3.80
B09HQSV46W,4.20
B08TZD7FQN,3.70
B0B21XL94T,4.30
B09PTT8DZF,3.90
B0B94JPY2N,3.00
B0B3XXSB1K,4.30
B08RZ12GKR,3.50
B0B4T8RSJ1,3.90
B0B7B9V9QP,4.00
B08XXVXP3J,4.30
B06XGWRKYT,3.80
B07CWDX49D,4.30
B09TY4MSH3,3.30
B07RY2X9MP,4.50
B0B2C5MJN6,4.10
B0BBMGLQDW,4.20
B01LONQBDG,4.10
B08XXF5V6G,4.40
B09HK9JH4F,4.20
B09MMD1FDN,3.90
B09HN7LD5L,4.00
B0BNDD9TN6,4.50
B0941392C8,3.70
B01M5967SY,4.20
B016MDK4F4,4.20
B08G43CCLC,4.20
B0B61GCHC1,4.30
B07RX14W1Q,4.40
B09PLD9TCD,4.20
